Origin_Country,Destination_Country,Carrier_Name,Incoterm,Route,Gross_Weight_KG,Gross_Volume_M3,Number_of_Pieces,Requested_Lead_Time_Days,Month,Pickup_DayOfWeek,Delivery_DayOfWeek,Pickup_IsWeekend,Delivery_IsWeekend,Business_Unit_ADS,Service_Type_RTN,Hazardous_Y,Carrier_Delay_Rate,Carrier_Volume,Route_Delay_Rate,Route_Volume,Weight_Per_Piece,Is_Rush,Carrier_Route_Encoded,Route_Month_Encoded
4,14,0,3,28,1878.81,0.9576,4,3,3,4,0,0,0,False,False,False,0.27633417155630063,3579,0.2905982905982906,117,469.7025,1,21,245
4,2,6,0,22,1181.73,0.6621,3,4,4,1,5,0,1,False,False,False,0.15355367066393683,3419,0.2723673792557403,1263,393.91,0,330,174
2,4,6,2,5,2817.98,2.1749,14,4,11,1,4,0,0,True,True,True,0.15355367066393683,3419,0.2680851063829787,2820,201.28428571428572,0,351,432
8,5,1,0,39,763.05,0.4463,2,5,11,1,0,0,0,False,True,False,0.29347368421052633,2375,0.26510944135903297,6122,381.525,0,154,384
5,2,1,3,30,1140.94,0.8191,7,3,5,0,2,0,0,False,True,False,0.29347368421052633,2375,0.2756024096385542,664,162.99142857142857,1,145,281
4,4,5,2,23,43193.595625737646,3.2303,13,2,5,4,0,0,0,True,True,True,0.2894486692015209,2104,0.2726831635128578,2061,3322.5842789028957,1,292,187
8,6,7,1,40,4811.23,1.5503,25,5,4,4,3,0,0,True,True,True,0.45885916203937405,1981,0.30601092896174864,366,192.4492,0,390,412
8,5,0,0,39,1614.74,0.6966,5,4,11,1,6,0,1,True,True,False,0.27633417155630063,3579,0.26510944135903297,6122,322.948,0,32,384
8,6,3,2,40,2479.75,0.9886,9,6,8,2,2,0,0,False,True,False,0.491083079599826,2299,0.30601092896174864,366,275.52777777777777,0,229,416
4,2,1,2,22,6429.68,3.9339,20,4,1,1,4,0,0,True,True,True,0.29347368421052633,2375,0.2723673792557403,1263,321.48400000000004,0,137,168
1,5,1,3,4,10596.52,3.9469,25,6,6,0,0,0,0,True,True,True,0.29347368421052633,2375,0.27880434782608693,1840,423.86080000000004,0,155,426
2,6,6,1,7,758.12,0.4943,5,2,7,3,5,0,1,False,True,False,0.15355367066393683,3419,0.3,190,151.624,1,353,463
8,4,4,0,38,880.0,0.374,6,4,6,1,6,0,1,False,True,False,0.12867729620480575,4453,0.26851098454027666,2458,146.66666666666666,0,267,378
3,0,8,3,12,1970.33,1.0914,7,1,8,4,5,0,1,True,False,True,0.257201646090535,2916,0.30275229357798167,218,281.4757142857143,1,400,46
1,4,5,0,3,3314.03,1.3238,25,7,9,3,5,0,1,True,True,False,0.2894486692015209,2104,0.27113095238095236,3360,132.5612,0,298,405
2,4,0,2,5,1342.05,0.7852,6,4,5,0,3,0,0,False,True,False,0.27633417155630063,3579,0.2680851063829787,2820,223.67499999999998,0,35,437
1,5,2,2,4,671.93,0.4009,4,5,8,6,6,1,1,False,True,False,0.2719298245614035,456,0.27880434782608693,1840,167.9825,0,188,428
0,4,10,3,0,1152.37,0.3683,4,5,2,5,5,1,1,True,True,True,0.19724375538329025,2322,0.2847222222222222,432,288.0925,0,40,4
8,2,4,2,37,675.54,0.2037,6,6,2,2,2,0,0,False,True,False,0.12867729620480575,4453,0.26897470039946736,1502,112.58999999999999,0,266,362
4,6,7,2,24,2500.18,1.7726,6,2,7,5,0,1,0,True,False,True,0.45885916203937405,1981,0.25328330206378985,533,416.69666666666666,1,373,201
1,5,10,2,4,854.3,0.395,8,6,5,6,0,1,0,False,True,False,0.19724375538329025,2322,0.27880434782608693,1840,106.7875,0,74,425
4,8,6,1,26,1029.51,0.4361,2,3,12,3,6,0,1,False,False,False,0.15355367066393683,3419,0.32653061224489793,49,514.755,1,334,219
5,2,4,1,30,1827.87,1.3185,4,18,5,0,4,0,0,True,False,False,0.12867729620480575,4453,0.2756024096385542,664,456.9675,0,259,281
0,4,3,2,0,3013.13,1.0757,10,5,8,6,4,1,0,True,True,True,0.491083079599826,2299,0.2847222222222222,432,301.313,0,194,10
0,4,9,1,0,9623.28,3.5991,11,4,3,1,6,0,1,True,True,False,0.5224839400428265,1401,0.2847222222222222,432,874.8436363636364,0,437,5
2,5,6,0,6,3446.14,1.4313,23,1,5,4,6,0,1,True,True,False,0.15355367066393683,3419,0.26096491228070173,912,149.83217391304348,1,352,449
5,2,3,1,30,1331.9,0.4763,5,2,8,5,1,1,0,False,True,False,0.491083079599826,2299,0.2756024096385542,664,266.38,1,218,284
8,5,11,3,39,597.15,0.4646,7,5,4,5,4,1,0,False,True,False,0.22524436889077773,2353,0.26510944135903297,6122,85.30714285714285,0,114,388
4,2,2,3,22,1869.18,1.4036,2,4,9,1,4,0,0,False,True,False,0.2719298245614035,456,0.2723673792557403,1263,934.59,0,171,179
1,4,11,3,3,780.62,0.3831,5,9,10,0,3,0,0,False,True,False,0.22524436889077773,2353,0.27113095238095236,3360,156.124,0,104,395
8,5,0,0,39,8562.67,4.2952,8,4,3,3,1,0,0,True,True,True,0.27633417155630063,3579,0.26510944135903297,6122,1070.33375,0,32,387
8,5,11,2,39,498.7,0.2388,1,5,8,0,6,0,1,False,True,False,0.22524436889077773,2353,0.26510944135903297,6122,498.7,0,114,392
8,5,8,2,39,5833.23,2.5189,20,1,6,4,5,0,1,True,False,False,0.257201646090535,2916,0.26510944135903297,6122,291.6615,1,429,390
8,5,8,3,39,1724.6,0.6702,8,1,1,1,2,0,0,False,False,False,0.257201646090535,2916,0.26510944135903297,6122,215.575,1,429,382
1,4,4,0,3,788.82,0.485,3,7,1,5,1,1,0,False,True,False,0.12867729620480575,4453,0.27113095238095236,3360,262.94,0,258,394
4,0,3,2,20,3269.15,2.1017,5,5,9,1,0,0,0,True,True,True,0.491083079599826,2299,0.25,92,653.83,0,207,155
0,5,1,1,1,5634.95,2.2648,8,6,2,3,3,0,0,True,True,False,0.29347368421052633,2375,0.2759295499021526,511,704.36875,0,123,136
4,8,8,0,26,2510.9,1.9611,23,1,11,5,6,1,1,False,False,False,0.257201646090535,2916,0.32653061224489793,49,109.16956521739131,1,415,218
1,5,3,2,4,1217.23,0.6619,8,3,4,6,2,1,0,True,False,False,0.491083079599826,2299,0.27880434782608693,1840,152.15375,1,228,424
8,5,11,0,39,744.62,0.5162,7,5,1,4,3,0,0,False,True,False,0.22524436889077773,2353,0.26510944135903297,6122,106.37428571428572,0,114,382
8,2,11,0,37,418.23,0.2418,1,4,10,5,3,1,0,False,True,False,0.22524436889077773,2353,0.26897470039946736,1502,418.23,0,112,359
4,4,6,0,23,4590.31,1.4525,8,3,3,2,4,0,0,True,True,False,0.15355367066393683,3419,0.2726831635128578,2061,573.78875,1,331,185
4,14,0,2,28,8390.53,2.9274,15,5,9,1,0,0,0,True,True,True,0.27633417155630063,3579,0.2905982905982906,117,559.3686666666667,0,21,251
8,2,0,3,37,1074.38,0.3465,8,5,10,0,6,0,1,False,True,False,0.27633417155630063,3579,0.26897470039946736,1502,134.2975,0,30,359
2,5,7,3,6,7147.77,2.3711,11,2,7,4,0,0,0,True,True,True,0.45885916203937405,1981,0.26096491228070173,912,649.7972727272728,1,392,451
2,4,11,3,5,3776.45,1.9554,23,3,4,2,4,0,0,True,True,True,0.22524436889077773,2353,0.2680851063829787,2820,164.19347826086957,1,117,436
8,5,1,1,39,2024.26,0.6556,10,1,8,1,2,0,0,False,False,False,0.29347368421052633,2375,0.26510944135903297,6122,202.426,1,154,392
8,5,11,2,39,2457.2,1.6558,14,4,9,2,0,0,0,False,True,False,0.22524436889077773,2353,0.26510944135903297,6122,175.5142857142857,0,114,393
2,5,11,2,6,6332.38,2.4856,9,3,9,6,2,1,0,True,True,True,0.22524436889077773,2353,0.26096491228070173,912,703.5977777777778,1,118,453
8,5,10,0,39,2982.14,2.153,12,6,10,3,3,0,0,False,True,False,0.19724375538329025,2322,0.26510944135903297,6122,248.51166666666666,0,73,383
2,4,5,3,5,2197.16,1.5681,13,3,11,6,2,1,0,True,False,True,0.2894486692015209,2104,0.2680851063829787,2820,169.01230769230767,1,311,432
1,5,8,0,4,1467.4,0.4858,7,1,2,5,6,1,1,False,False,True,0.257201646090535,2916,0.27880434782608693,1840,209.62857142857143,1,430,422
8,5,7,1,39,2039.68,0.9375,18,6,5,2,2,0,0,True,True,True,0.45885916203937405,1981,0.26510944135903297,6122,113.31555555555556,0,388,389
6,5,10,3,34,7830.23,3.8616,22,6,1,3,3,0,0,True,True,False,0.19724375538329025,2322,0.3247232472324723,271,355.9195454545454,0,68,322
5,4,6,0,31,625.3,0.2862,3,3,11,2,5,0,1,False,True,False,0.15355367066393683,3419,0.27392120075046905,1066,208.4333333333333,1,340,288
1,4,4,3,3,375.65,0.1731,3,7,1,2,3,0,0,False,True,False,0.12867729620480575,4453,0.27113095238095236,3360,125.21666666666665,0,258,394
2,4,5,2,5,1888.56,0.9723,3,16,7,0,2,0,0,False,False,False,0.2894486692015209,2104,0.2680851063829787,2820,629.52,0,311,439
8,5,5,2,39,3880.07,1.88,14,5,9,3,2,0,0,True,True,True,0.2894486692015209,2104,0.26510944135903297,6122,277.14785714285716,0,308,393
8,5,10,1,39,1116.85,0.6334,2,4,7,4,2,0,0,False,True,False,0.19724375538329025,2322,0.26510944135903297,6122,558.425,0,73,391
1,5,9,2,4,2767.88,1.5221,12,7,4,0,1,0,0,True,True,True,0.5224839400428265,1401,0.27880434782608693,1840,230.65666666666667,0,471,424
8,2,10,0,37,1230.38,0.4405,2,4,11,5,3,1,0,True,True,True,0.19724375538329025,2322,0.26897470039946736,1502,615.19,0,71,360
4,14,0,0,28,1007.36,0.518,7,6,9,3,3,0,0,False,True,False,0.27633417155630063,3579,0.2905982905982906,117,143.90857142857143,0,21,251
4,2,9,2,22,2820.4,1.2871,19,3,9,1,3,0,0,True,True,False,0.5224839400428265,1401,0.2723673792557403,1263,148.4421052631579,1,452,179
8,5,8,2,39,4579.75,2.8823,23,5,1,3,2,0,0,False,True,False,0.257201646090535,2916,0.26510944135903297,6122,199.1195652173913,0,429,382
4,4,7,0,23,2624.1,0.8456,9,3,10,3,6,0,1,True,False,True,0.45885916203937405,1981,0.2726831635128578,2061,291.56666666666666,1,372,181
8,4,3,1,38,1817.75,1.2612,7,5,9,0,5,0,1,True,True,False,0.491083079599826,2299,0.26851098454027666,2458,259.67857142857144,0,226,381
8,5,4,3,39,2017.74,0.8494,25,4,8,5,2,1,0,False,False,False,0.12867729620480575,4453,0.26510944135903297,6122,80.7096,0,268,392
1,5,7,0,4,276.21,0.0988,1,6,5,2,2,0,0,False,True,False,0.45885916203937405,1981,0.27880434782608693,1840,276.21,0,389,425
1,5,6,3,4,6200.35,3.7303,12,5,9,6,4,1,0,True,False,False,0.15355367066393683,3419,0.27880434782608693,1840,516.6958333333333,0,349,429
8,5,3,2,39,11895.02,8.1484,23,5,6,6,4,1,0,True,True,True,0.491083079599826,2299,0.26510944135903297,6122,517.1747826086956,0,227,390
1,5,6,1,4,3155.77,1.7058,9,8,2,2,4,0,0,True,True,False,0.15355367066393683,3419,0.27880434782608693,1840,350.6411111111111,0,349,422
